ID,O que você entende por diversidade e inclusão?
#P01,Different ways of thinking and acting
#P02,"Affirmative policies for welcoming, treatment, promotion and recognition of people in spaces and moments that disregard their particularities."
#P03,Include everyone regardless of how the person is
#P04,When people of different types receive the necessary support to have access to the same opportunities.
#P05,Opportunity and equality for all
#P06,Include people from distinct backgrounds and with varied personal characteristics in order to create diverse teams.
#P07,"Diversity is about valuing the variety of characteristics of each individual, inclusion is the promotion of an environment where all individuals are respected and have the capacity to participate in an equal way"
#P08,"It would be having a greater plurality of people with different beliefs, tastes, genders, races, etc, in a way that none of these people feel in a negative way in the place in which they are inserted and are able to perform their role without harming the rights of others."
#P09,Treat different people as capable of contributing to mutual success.
#P10,"In my opinion, diversity and inclusion are concepts that should be understood in a complementary way. Diversity is, for me, a concept more related to individuals themselves and their unique aspects. This concept is related to the variety of beliefs, cultures, etc. On the other hand, inclusion is understood by me as the formation of environments that welcome different people while respecting their diversity."
#P11,"Diversity - people from different groups
Inclusion - equality of opportunity"
#P12,"Composition of the group of employees at all levels that represents in an egalitarian way the different groups that make up society. In addition, support so that these groups have all the necessary resources to perform their role."
#P13,Respect for lived experiences and life experiences.
#P14,NA
#P15,"ensure that any differences that exist are not relevant or determining in the exercise of work, that is, regardless of their differences you have the capacity and peace of mind to perform your work."
#P16,Include diverse people in the organization based on the diversity of the Brazilian population.
#P17,"Diversity is the capacity that an entity (public or private) has to be able to reflect at all its hierarchical levels the many human differences that are present in its social context.

By inclusion I understand it as the process with clear objectives and goals of opening space for social groups with low representation within the diversity structure of a public or private entity."
#P18,"I believe it is about giving space and treating everyone equally, regardless of any prior characteristic, such as ethnicity or gender."
#P19,Work with any person regardless of how they are
#P20,Representativeness of all cultural and social expressions in an organization.
#P21,Everyone is respected and treated with respect. The fact that a person has some characteristic that is different from the majority of people around is not a factor to exclude them or prevent their access.
#P22,"Coexistence with people of different orientations, characteristics and experiences promote better results at work. Minorities having access to encouraged work opportunities."
#P23,I understand it as giving the same opportunities to everyone regardless of orientation or condition.
#P24,Include everyone without discrimination
#P25,"ethnicities, pcd, lgbt+ at all levels"
#P26,
#P27,Provide an environment where people from minoritized groups have equal opportunities.
#P28,"Diversity is inviting people to the party, inclusion is asking them to dance."
#P29,"Diversity refers to the variety of characteristics among people, while inclusion means creating an environment where all people are valued and have equal opportunities."
